name,latitude,longitude,filename,recording_type,notes
Blank Street Cafe,40.735269,-73.998427,Blank street cafe inside.m4a,inside,Greenwich Village location; enough seats to study; 4+ stars on Google Maps
Blank Street Cafe,40.735269,-73.998427,Blank street cafe outside.m4a,outside,Greenwich Village location; enough seats to study; 4+ stars on Google Maps
Jacx & Co Food Hall,40.7488988,-73.9410181,Jack&co inside.m4a,inside,Long Island City area; enough seats to study; 4+ stars on Google Maps
Jacx & Co Food Hall,40.7488988,-73.9410181,Jacx&co food hall outside.m4a,outside,Long Island City area; enough seats to study; 4+ stars on Google Maps
Joe Coffee,40.7333179,-74.0005572,Joe coffee inside.m4a,inside,West Village location; enough seats to study; 4+ stars on Google Maps
Joe Coffee,40.7333179,-74.0005572,Joe coffee outside.m4a,outside,West Village location; enough seats to study; 4+ stars on Google Maps
Paris Baguette,40.7481013,-73.9401725,Paris Baguette inside.m4a,inside,Long Island City area; enough seats to study; 4+ stars on Google Maps
Paris Baguette,40.7481013,-73.9401725,Paris Baguette outside.m4a,outside,Long Island City area; enough seats to study; 4+ stars on Google Maps
Rosecrans Cafe,40.7339,-74.0009,Rosecrans cafe outside.m4a,outside,West Village location; enough seats to study; 4+ stars on Google Maps
Rosecrans Cafe,40.7339,-74.0009,Rosecrans inside.m4a,inside,West Village location; enough seats to study; 4+ stars on Google Maps
Starbucks,40.7495,-73.9408,Starbucks inside.m4a,inside,Long Island City area; enough seats to study; 4+ stars on Google Maps
Starbucks,40.7495,-73.9408,Starbucks outside.m4a,outside,Long Island City area; enough seats to study; 4+ stars on Google Maps
Utopia Bagel,40.747,-73.9396,Utopia bagle ouside.m4a,outside,Long Island City area; enough seats to study; 4+ stars on Google Maps
Utopia Bagel,40.747,-73.9396,Utopia inside.m4a,inside,Long Island City area; enough seats to study; 4+ stars on Google Maps
